Date,Average Faculty Salary,Median Faculty Salary,Athletic Director,In-state Tuition,Out-of-State Tuition,,,,,,,,,
2000,"94,756.36","80,702.00","176,748.00","2,768.32","11,026.00",,,,,,,,,
2001,"95,944.74","81,523.00","176,748.00","3,277.00","13,269.00",,,,,,,,,
2002,"97,506.82","83,339.00","203,083.00","3,856.00","15,140.00",,,,,,,,,
2003,"98,309.91","84,206.00","203,083.00","3,205.00","16,303.00",,,,,,,,,
2004,"100,884.35","85,671.50","203,083.00","4,359.52","17,457.52",,,,,,,,,
2005,"102,467.13","87,252.00","222,985.00","4,515.02","18,313.02",,,,,,,,,
2006,"109,867.10","93,360.00","236,364.00","4,875.82","19,523.82",,,,,,,,,
2007,"116,768.84","99,993.00","270,000.00","5,176.30","20,824.30",,,,,,,,,
2008,"122,126.36","105,000.00","285,000.00","5,227.99","22,125.99",,,,,,,,,
2009,"124,397.30","106,971.00","295,000.00","5,450.16","23,338.16",,,,,,,,,
2010,"125,455.20","107,870.00","295,000.00","6,487.49","25,102.49",,,,,,,,,
2011,"126,156.12","108,000.00","295,000.00","6,823.96","26,648.96",,,,,,,,,
2012,"128,770.29","110,000.00","525,000.00","7,499.81","28,251.81",,,,,,,,,
2013,"130,344.60","110,529.00","531,300.00","8,122.98","29,904.98",,,,,,,,,
2014,"133,431.70","113,289.50","531,300.00","8,106.84","33,357.84",,,,,,,,,
2015,"133,759.74","113,782.00","642,268.00","8,334.19","33,416.19",,,,,,,,,